name of company,college name,region,year,Salary
ZYCUS,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2016,41812
ZYCUS,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2017,41812
ZYCUS,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2017,41812
ZYCUS,"DR. D. Y. PATIL VIDYAPEETH, PUNE",PUNE,2018,17444
CLOVER INFOTECH,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018,17444
CLOVER INFOTECH,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018,374779
IBM,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018,374779
IBM,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018,374779
IBM,THAKUR COLLEGE OF ENGINEERING AND TECHNOLOGY,MUMBAI,2018,374779
IBM,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2015,374779
IBM,ARMY INSTITUTE OF TECHNOLOGY,PUNE,2018,374779
IBM,DHOLE PATIL COLLEGE OF ENGINEERING PUNE,PUNE,2018,374779
IBM,INDIRA COLLEGE OF ENGINEERING AND MANAGEMENT,PUNE,2018,374779
IBM,VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2018,374779
IBM,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2015,374779
IBM,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2018,441092
LIONBRIDGE,BHARATI VIDYAPEETH COLLEGE OF ENGINEERING,PUNE,2015,44037
GOOGLE,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2017,44037
GOOGLE,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2014,44037
GOOGLE,MIT COLLEGE OF ENGINEERING,PUNE,2018,53484
BNP PARIBAS,XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2018,53484
BNP PARIBAS,THADOMAL SHAHANI ENGINEERING COLLEGE,MUMBAI,2018,53484
BNP PARIBAS,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2015,53484
